"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Card Verification"
"Enrolled","已登记"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","失败"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Liability"
"Not Enrolled","未登记"
"Order cannot be placed.","未能下单."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Please continue with placing order."
"Please verify the card with the issuer bank before placing the order.","Please verify the card with the issuer bank before placing the order."
"Please verify the card with the issuer bank:","Please verify the card with the issuer bank:"
"Start/Reset Validation...","启动/重置复核..."
"Successful","成功"
"Successful attempt","成功尝试"
"The card has failed verification with the issuer bank.","The card has failed verification with the issuer bank."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","There has been wrong payment information submitted or the time limit has expired. Please, try again."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","There has been wrong payment information submitted or time limit has expired. Please, try again."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"This card has failed validation, but it is possible to place the order.","This card has failed validation, but it is possible to place the order."
"To ensure the security of your transactions","To ensure the security of your transactions"
"Unable to complete","未能完成Unable to complete"
"Validation failed.","复核失败."
"Verification Failed","验证失败"
"Verification Successful","验证成功"
"Verification cannot be processed","未能执行验证"
"Verified by Visa","Visa已验证"
