"Points","Reward points"
"Reward points","Reward points"
"You have %d point(s) available","You have %d point(s) available"
"To get a discount you need at least %d points","To get a discount you need at least %d points"
"Enter quantity of credit you want to use.","Enter quantity of credit you want to use."
"%d points","%d points"
"Apply Points","Apply Points"
"Apply points","Apply points"
"You are currently using %d point(s) of your %d point(s) available","You are currently using %d point(s) of your %d point(s) available"
"Remove Points","Remove Points"
"Not enough points available.","Not enough points available."
"The minimum required points is not reached","The minimum required points is not reached"
"Amount of points wrongly used","Amount of points wrongly used"
"Your Points","Your Points"
"Total Accumulated Points","Total Accumulated Points"
"Total Points Spent","Total Points Spent"
"Points waiting for validation","Points waiting for validation"
"Your cart amount has not reached the minimum required points","Your cart amount has not reached the minimum required points"
