"Группа","ENG","RUS_Одобрено","RUS_Альтернативы (не подошли или рассматриваются)"
"user","Account","Учётная запись","Аккаунт/Профиль/Учетная запись"
,"Admin","Панель администрирования","Панель управления/Административная панель"
"orders","Backorder","Задолженный заказ","Резервирование"
"orders","Backordered","Зарезервировано",
"orders","Credit Memo","Возврат платежа",
,"CSV","через запятую (CSV) ",
"orders","Customer","Клиент","Покупатель"
"file operation","Download","Скачать","Загрузить"
"file operation","Upload","Закачать","Выгрузить"
,"Edit","Редактировать (когда у объекта много параметров/свойств. Пример: товар, категория)","Изменить"
,"Edit","Изменить (когда объект имеет только один параметр. Пример: метка, значение поля.)","Редактировать"
,"Enable","Включить","Разрешить"
,"Enabled","Включено","Разрешено"
,"Disable","Отключить","Выключить/Запретить"
,"Disabled","Отключено","Выключено/Запрещено"
,"Frontend","Пользовательская часть","Сайт"
,"Backend","Панель администрирования","см. Admin"
,"Header","Хэдер","Чердак/Шапка/Верхний колонтитул/Заголовок"
,"Footer","Футер","Подвал/Подол/Нижний колонтитул/Подпись"
,"Profile","Профиль",
,"Session","Сеанс","Сессия"
,"State","Район",
,"Store","Магазин",
,"Store View","Представление магазина","Вид магазина"
,"URL","URL",
,"Urlrewrite","Правило URL",
,"Website","Сайт",
,"Tag","Метка","Тэг/Тег/Ярлык"
"products","Product","Товар","Продукт"
"products","Catalog","Каталог",
"products","Category","Категория","Раздел"
"products","SKU","Артикул","Код товара"
,"Email","Электронная почта (email)","email/e-mail/электронная почта/эл. почта/е-почта"
,"Email Address","Адрес электронной почты (email)",
,"Please, Select","Выберите","Пожалуйста, выберите/Выбор/Выберите из списка"
,"Host","Хост",
"localization","Locale","Локализация","Язык/Локаль/   http://docs.rinet.ru/Locale/locale01.html"
"settings","Settings","Настройки",
"settings","Options","Параметры/Варианты",
"settings","Option","Параметр/Вариант",
"settings","Configuration","Конфигурация","Настройки"
"settings","Setup","Установка","Настройка"
"settings","Properties","Свойства",
"user","Username","Имя пользователя",
"user","Login","Вход",
"user","Log in","Вход",
"user","Log out","Выход",
"user","Logout","Выход",
"orders","Shipping Method","Метод доставки","Способ доставки"
"orders","Payment Method","Метод оплаты","Способ оплаты"
,"breadcrumbs","строка навигации","Хлебные крошки"
,"Layout","Макет","Шаблон/Расположения"
,"Layout Update","Обновление макета","Обновление шаблона"
,"Home","Главная страница","Домашняя страница/Домашняя"
,"Click","Щелчок","Нажмите/Щёлкните"
,"Double Click","Двойной щелчок","Двойной клик"
,"Personal information","Личная информация","Частная информация/Персональная информация"
,"Advanced",,"Расширенный/Дополнительный"
,"Wishlist","Лист пожеланий","Отмеченные товары/Лист желаний/Отложенные товары"
,"Design Change","Изменение дизайна","Смена дизайна"
,"Custom","Другой/Настраиваемый","Указанный/Нестандартный"
,"From-To","С-По","С-по/С-до/От-до"
,"Miscellaneous",,
,"Polls","Опросы","Голосования"
"products","Custom Options","Настраиваемые варианты/Настраиваемые параметры",
,"Invoice","Счёт","Счёт-фактура/Фактура/Накладная/Инвойс"
,"General","Общая","Основная"
"file operation","Directory","Папка","Каталог/Директория"
"settings","Global (scope)","Глобально","Общая (настройка, область действия)"
"products","Configurable","Настраиваемый","Конфигурируемый"
"products","Bundle","Набор (bundle items - Набор товаров)","Комплект/(Bundle Items - Состав набора/Наборы товаров/Комплекты товаров)"
"products","Simple","Простой",
"products","Grouped","Сборный","Сгруппированный/Комплект"
"products","Virtual","Виртуальный","Цифровой"
"products","Downloadable","Цифровой","Скачиваемый/Загруженный"
"images","Thumbnail","Мини-изображение","Иконка"
,"Notification","Уведомление",
,"Alert","Оповещение",
,"Search Term","Критерий поиска","Условия поиска/Поисковый термин"
,"Staging","Текущий","Временный"
"totals","Total","Всего","Итого"
"totals","Subtotal","Предварительный итог","Подитог/Промежуточная сумма/Промежуточный итог/Предварительный результат/Предварительная сумма"
"totals","Grandtotal","Итого","Итого/Итого к оплате/Итоговая сумма"
"totals","Subtotal Amount","Предварительный итог","Итоговая сумма"
"totals","Total Amount","Общая стоимость","Общая сумма/Итоговая сумма"
"totals","Summary",,"Итог/Сводка"
"totals","Order Totals","Сумма заказа","ВСЕГО"
,"Shippment","Доставка","Отправление/Отгрузка/Поставка/Груз"
,"Shipping","Доставка",
"products","related","Сопутствующие","Связанные/Связи/Аксесуары"
"products","up sells","Похожие","Распродажи/Продвигаемые товары/Альтернативные товары"
"products","cross sells","Импульсивные","кросс-продажи"
"products","Tier price","Уровни цен","Динамические цены/Ценовые уровни/Дифференцированные цены"
"products","Regular price","Обычная цена",
"products","Special price","Цена особого предложения",
"orders","Gift messages","Поздравительные сообщения",
"orders","Coupon","Купон","Сертификат"
,"Billing information","Информация о плательщике","Информация для счёта"
,"Billng address","Адрес плательщика",
"order status","Pending","В очереди","Ожидает решения/На рассмотрении/В ожидании"
"order status","Processing","Обрабатывается","Обработка/В обработке"
"order status","Hold/On hold/Un on hold","Отложить/Возобновить/Отложен","Заморозить/Заморожен/Разморозить - Удержать/На удержании/Снять с удержания"
"order status","Complete","Завершён","Завершено/Обработан/Обработано"
"order status","Closed","Закрыт","Закрыто"
"order status","Canceled","Отменён",
,"RSS feed","RSS канал","RSS поток"
,"Mapped fields","Привязанные поля","Связанные поля/Соответствие полей"
,"File name","Имя файла","Название файла"
,"Billing Agreement","Платёжное соглашение",
,"Nominal item","Номинальный товар/Номинальная позиция",
,"Anchor","Фиксатор","Якорь"
,"MAP","РРЦ",
,"Minimum Advertised Price","Рекомендованная розничная цена",
